productID,productName,productPrice,productRating,productDiscount,productExp,productWeight,productSeller,productBrand,manufacturedAddress,productCategory,productSubCategory
67,Coca-Cola PET Bottle,95,4.4,14,13-09-2022,2 L,SuperComNet,Coca-Cola,"18,Bidadi Industrail Area,Hobli Ramnagar,Bidadi,Karnataka 562112",Snacks And Beverages,Beverages
68,7UP Plastic Bottle,40,4.3,12,05-08-2022,750 ml,SuperComNet,7UP,"pepsico india holdings pvt nh 9 mumbai highway POTHIREDDYPALLY VILLAGE,SANGAREEDY MEDAK DIST-502295 Telangana",Snacks And Beverages,Beverages
69,Dettol Cool Germ Protection Bathing Soap,402,4.4,23,18-02-2024,125 g  * 6 packs,Suri Consumer,Dettol,"RECKITT BENCKISER (INDIA) PVT.LTD, NO.227, OKHLA INDUSTRIAL ESTATE,PHASE III, OKHLA, NEW DELHI-110020",Personal And Baby Care,Personal Care
70,HIMALAYA AntiHairFallShampoo,230,4.3,12,21-12-2023,400 ml,Suri Consumer,HIMALAYA,"The Himalaya Drug Company Makali Campus, Tumkur main road,Bangalore- 562162",Personal And Baby Care,Personal Care
71,Pampers Diaper Pants - L,1199,4.3,30,15-12-2024,64 pieces,Suri Consumer,Pampers,"Procter & Gamble Home Products Pvt. Ltd., PlotNo. 182, Sector A, IndustrialArea, Mandideep -462046,MP, India",Personal And Baby Care,Baby Care
72,JOHNSON'S Baby Soap,105,4.5,8,15-12-2024,150 g,SuperComNet,Johnson's,"Johnson & Johnson Pvt. Ltd. , L.B.S Marg, Mulund (West), Mumbai - 400080, India",Personal And Baby Care,Baby Care
73,Nestle Koko Krunch Chocolate Breakfast Cereal Box,185,4.5,15,10-01-2023,350 g,SuperComNet,Nestle,"Kayem Food Industries Pvt. Ltd i Plot No 2244 2247, Hsidc Industrial Estate, Rai, Sonepat - 131029",Packaged Food,Packaged Food
74,"Saffola Masala Oats, Tasty Evening Snack, Classic Masala, Pouch",202,4.2,12,12-12-2022,500 g,METHOMecom,Saffola,"7th Floor, Grande Palladium, 175, CST Road, Kalina, Santa Cruz (East), Kolivery Village, MMRDA Area, BKC, Santacruz East",Packaged Food,Packaged Food
75,"MASTER COOK - 500 ml Polypropylene Fridge Container(Pack of 2, Blue, Pink)",95,3.6,48,0,500 ml * 2,CIGFILLIMITED,Master Cook,"PLOT NO-4, VASAI TALUKA COOPERATIVE INDUSTRIAL ESTATE,NEAR SBI, VASAI EAST,STATE- MAHARSHTRA DIST- PALGHAR, PIN 401208",Home And Kitchen,Home And Kitchen
76,Flipkart SmartBuy Fry Pan 23 cm diameter,1399,4.1,81,0,23 cm,CIGFILLIMITED,Flipkart SmartBuy,"Killa no 14/1,Khewat no 907, Khata no 972, Nathupur, Sonipat,Haryana,131029",Home And Kitchen,Home And Kitchen
77,Ghadi Detergent Powder,186,4.4,10,21-01-2024,3 Kg,METHOMecom,Ghadi,"RSPL limited 119,120, 121 (Part) Block P& T,Fazal Ganj ,Kalpi road Kanpur -208012 (UP)",Household Care,Household Care
78,Vim Dish Cleaning Gel ,99,4.5,0,16-01-2024,500 ml,SuperComNet,Vim,Vim Dish Cleaning Gel ,Household Care,Household Care
